"arc_length","pf","phi"
0,3.036088e-02,2.728557e-02
0.000999987,2.799148e-02,2.731891e-02
0.002,2.799148e-02,2.735226e-02
0.00299999,2.799148e-02,2.738560e-02
0.00400001,2.799148e-02,2.741894e-02
0.005,2.799148e-02,2.745228e-02
0.00600001,2.799148e-02,2.748563e-02
0.007,2.799148e-02,2.751897e-02
0.00799999,2.799148e-02,2.755231e-02
0.009,2.799148e-02,2.758566e-02
0.00999999,2.799148e-02,2.761900e-02
0.011,2.799148e-02,2.765234e-02
0.012,2.799148e-02,2.768569e-02
0.013,2.799148e-02,2.771903e-02
0.014,2.799148e-02,2.775237e-02
0.015,2.799148e-02,2.778571e-02
0.016,2.799148e-02,2.781906e-02
0.017,2.799148e-02,2.785240e-02
0.018,2.799148e-02,2.788574e-02
0.019,2.799148e-02,2.791909e-02
0.02,2.799148e-02,2.795243e-02
0.021,2.799148e-02,2.798577e-02
0.022,2.799148e-02,2.801912e-02
0.023,2.799148e-02,2.805246e-02
0.024,2.799148e-02,2.808580e-02
0.025,2.799148e-02,2.811914e-02
0.026,2.799148e-02,2.815249e-02
0.027,2.799148e-02,2.818583e-02
0.028,2.799148e-02,2.821917e-02
0.029,2.799148e-02,2.825252e-02
0.03,2.799148e-02,2.828586e-02
0.031,2.799148e-02,2.831920e-02
0.032,2.799148e-02,2.835254e-02
0.033,2.953388e-02,2.839207e-02
0.034,2.953388e-02,2.849286e-02
0.035,2.953388e-02,2.859365e-02
0.036,2.953388e-02,2.869444e-02
0.037,2.953388e-02,2.879523e-02
0.038,2.953388e-02,2.889601e-02
0.039,2.953388e-02,2.899680e-02
0.04,2.953388e-02,2.909759e-02
0.041,2.953388e-02,2.919838e-02
0.042,2.953388e-02,2.929917e-02
0.043,2.953388e-02,2.939996e-02
0.044,2.953388e-02,2.950074e-02
0.045,2.953388e-02,2.960153e-02
0.046,2.953388e-02,2.970232e-02
0.047,2.953388e-02,2.980311e-02
0.048,2.953388e-02,2.990390e-02
0.049,2.953388e-02,3.000469e-02
0.05,2.953388e-02,3.010548e-02
