"arc_length","pf","phi"
0,3.246392e-02,2.940625e-02
0.000999987,2.977607e-02,2.942595e-02
0.002,2.977607e-02,2.944565e-02
0.00299999,2.977607e-02,2.946536e-02
0.00400001,2.977607e-02,2.948506e-02
0.005,2.977607e-02,2.950476e-02
0.00600001,2.977607e-02,2.952446e-02
0.007,2.977607e-02,2.954416e-02
0.00799999,2.977607e-02,2.956386e-02
0.009,2.977607e-02,2.958357e-02
0.00999999,2.977607e-02,2.960327e-02
0.011,2.977607e-02,2.962297e-02
0.012,2.977607e-02,2.964267e-02
0.013,2.977607e-02,2.966237e-02
0.014,2.977607e-02,2.968207e-02
0.015,2.977607e-02,2.970178e-02
0.016,2.977607e-02,2.972148e-02
0.017,2.977607e-02,2.974118e-02
0.018,2.977607e-02,2.976088e-02
0.019,2.977607e-02,2.978058e-02
0.02,2.977607e-02,2.980029e-02
0.021,2.977607e-02,2.981999e-02
0.022,2.977607e-02,2.983969e-02
0.023,2.977607e-02,2.985939e-02
0.024,2.977607e-02,2.987909e-02
0.025,2.977607e-02,2.989879e-02
0.026,2.977607e-02,2.991850e-02
0.027,2.977607e-02,2.993820e-02
0.028,2.977607e-02,2.995790e-02
0.029,2.977607e-02,2.997760e-02
0.03,2.977607e-02,2.999730e-02
0.031,2.977607e-02,3.001700e-02
0.032,2.977607e-02,3.003671e-02
0.033,3.125538e-02,3.006507e-02
0.034,3.125538e-02,3.017925e-02
0.035,3.125538e-02,3.029343e-02
0.036,3.125538e-02,3.040761e-02
0.037,3.125538e-02,3.052178e-02
0.038,3.125538e-02,3.063596e-02
0.039,3.125538e-02,3.075014e-02
0.04,3.125538e-02,3.086431e-02
0.041,3.125538e-02,3.097849e-02
0.042,3.125538e-02,3.109266e-02
0.043,3.125538e-02,3.120684e-02
0.044,3.125538e-02,3.132102e-02
0.045,3.125538e-02,3.143519e-02
0.046,3.125538e-02,3.154937e-02
0.047,3.125538e-02,3.166355e-02
0.048,3.125538e-02,3.177773e-02
0.049,3.125538e-02,3.189190e-02
0.05,3.125538e-02,3.200608e-02
0.051,3.125538e-02,3.212025e-02
